"tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
242.0,49.1,6.0413223140,10,0.39585123966942526
243.0,49.26,6.0534979424,8,0.39586008230452907
244.0,49.42,6.0696721311,8,0.39586885245901726
245.0,49.58,6.0653061224,8,0.39587755102040756
246.0,49.72,6.0569105691,7,0.3958861788617866
247.0,49.92,6.0526315789,10,0.3958947368421018
248.0,50.16,6.0443548387,12,0.39590322580644677
249.0,50.38,6.0281124498,11,0.39591164658633915
250.0,50.58,6.032,10,0.39591999999999233
251.0,50.78,6.0358565737,10,0.39592828685258064
252.0,50.92,6.0357142857,7,0.39593650793649754
253.0,51.08,6.0553359684,8,0.39594466403160883
254.0,51.3,6.0826771654,11,0.3959527559054987
255.0,51.52,6.0745098039,11,0.39596078431371107
256.0,51.76,6.0625,12,0.39596874999998427
257.0,52.08,6.0428015564,16,0.395976653696481
258.0,52.46,6.0348837209,19,0.39598449612401265
259.0,52.86,6.0231660232,20,0.39599227799225833
260.0,52.96,6.0192307692,5,0.3959999999999791
261.0,53.08,6.0191570881,6,0.39600766283522687
262.0,53.2,6.0419847328,6,0.3960152671755491
263.0,53.28,6.0684410646,4,0.3960228136881882
264.0,53.38,6.0946969697,5,0.3960303030302771
265.0,53.5,6.0792452830,6,0.3960377358490294
266.0,53.64,6.0751879699,7,0.3960451127819265
267.0,53.8,6.0786516854,8,0.3960524344568992
268.0,54.04,6.0783582090,12,0.39605970149250647
269.0,54.3,6.0780669145,13,0.3960669144981092
270.0,54.46,6.0666666667,8,0.3960629629629297
271.0,54.62,6.0553505535,8,0.39605904059037145
272.0,54.8,6.0588235294,9,0.3960661764705526
273.0,54.96,6.0695970696,8,0.39607326007322324
274.0,55.12,6.0839416058,8,0.39608029197076494
275.0,55.38,6.0690909091,13,0.3960872727272336
276.0,55.64,6.0543478261,13,0.3960942028985105
277.0,55.96,6.0433212996,16,0.3961010830324496
278.0,56.36,6.0287769784,20,0.39610791366902226
279.0,56.76,6.0143369176,20,0.3961146953404582
280.0,57.02,6.0178571429,13,0.3961214285713839
281.0,57.28,6.0213523132,13,0.39612811387895774
282.0,57.46,6.0354609929,9,0.3961347517730027
283.0,57.6,6.0530035336,7,0.3961413427561358
284.0,57.72,6.0633802817,6,0.3961478873238946
285.0,57.82,6.0596491228,5,0.3961543859648622
286.0,57.94,6.0559440559,6,0.396160839160788
287.0,58.1,6.0522648084,8,0.39616724738670733
288.0,58.32,6.0520833333,11,0.39617361111105787
289.0,58.58,6.0484429066,13,0.39617993079579344
